usuario execucao,flag,dia semana,data,horario,comando,hostname,usuario remoto,host,porta,sucesso execucao remoto,erro
gabriel,False,Wednesday,03/02/2022,14:33:47,,Maquina01,gabriel,127.0.0.1,3022,False,[Errno None] Unable to connect to port 3022 on 127.0.0.1
gabriel,True,Wednesday,03/02/2022,14:33:47,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Wednesday,03/02/2022,18:30:15,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,False,Wednesday,03/02/2022,18:30:16,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,[Errno None] Unable to connect to port 3023 on 127.0.0.1
gabriel,True,Wednesday,03/02/2022,18:31:05,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,False,Wednesday,03/02/2022,18:31:05,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,[Errno None] Unable to connect to port 3023 on 127.0.0.1
gabriel,True,Wednesday,03/02/2022,18:31:48,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Wednesday,03/02/2022,18:31:48,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,15:55:44,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,15:55:44,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,15:59:47,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,15:59:47,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,16:01:19,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,16:01:19,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,16:01:51,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,16:01:52,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,False,Thursday,03/03/2022,16:01:52,,Maquina Algar,gabriel,192.168.100.4,22,False,[Errno None] Unable to connect to port 22 on 192.168.100.4
gabriel,True,Thursday,03/03/2022,16:02:20,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,16:02:20,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,16:02:21,ls,Maquina Algar,gabriel,192.168.100.4,22,True,
gabriel,True,Thursday,03/03/2022,16:08:40,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Thursday,03/03/2022,16:08:41,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Thursday,03/03/2022,16:08:42,ls,Maquina Algar,gabriel,192.168.100.4,22,True,
gabriel,False,Monday,03/07/2022,13:39:24,,Maquina01,gabriel,127.0.0.1,3022,False,[Errno None] Unable to connect to port 3022 on 127.0.0.1
gabriel,False,Monday,03/07/2022,13:39:25,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,[Errno None] Unable to connect to port 3023 on 127.0.0.1
gabriel,,Monday,03/07/2022,20:03:44,,,,,,,
gabriel,False,Monday,03/07/2022,20:03:44,ls,Maquina01,gabriel,127.0.0.1,3022,False,Authentication failed.
gabriel,True,Monday,03/07/2022,20:05:26,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Monday,03/07/2022,20:05:27,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,,Monday,03/07/2022,20:05:44,,,,,,,
gabriel,True,Monday,03/07/2022,20:05:44,ls,Maquina01,gabriel,127.0.0.1,3022,True,No existing session
gabriel,,Monday,03/07/2022,20:06:09,,,,,,,
gabriel,True,Monday,03/07/2022,20:06:09,ls,Maquina01,gabriel,127.0.0.1,3022,True,No existing session
gabriel,,Tuesday,03/08/2022,01:42:23,,,,,,,
gabriel,False,Tuesday,03/08/2022,01:42:23,ls,Maquina01,gabriel,127.0.0.1,3022,False,Authentication failed.
gabriel,,Tuesday,03/08/2022,01:45:19,,,,,,,
gabriel,False,Tuesday,03/08/2022,01:45:19,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:45:19,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
gabriel,,Tuesday,03/08/2022,01:45:43,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:45:43,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:45:43,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
gabriel,,Tuesday,03/08/2022,01:46:20,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,True,Tuesday,03/08/2022,01:46:20,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,False,Tuesday,03/08/2022,01:46:21,ls,Maquina Algar,gabriel,192.168.100.4,22,True,Authentication failed.
gabriel,,Tuesday,03/08/2022,01:47:28,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:47:28,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:47:28,,Maquina02 Clone,gabriel,127.0.0.1,3023,True,No existing session
gabriel,,Tuesday,03/08/2022,01:47:51,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:47:51,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:47:51,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:47:51,,Maquina02 Clone,gabriel,127.0.0.1,3023,True,No existing session
gabriel,,Tuesday,03/08/2022,01:48:24,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:48:24,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:48:24,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:48:24,,Maquina02 Clone,gabriel,127.0.0.1,3023,True,No existing session
gabriel,,Tuesday,03/08/2022,01:48:36,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,,Tuesday,03/08/2022,01:48:36,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,,Tuesday,03/08/2022,01:48:53,,Maquina01,gabriel,127.0.0.1,3022,,
gabriel,False,Tuesday,03/08/2022,01:48:53,,Maquina01,gabriel,127.0.0.1,3022,False,No existing session
gabriel,False,Tuesday,03/08/2022,01:48:53,,Maquina02 Clone,gabriel,127.0.0.1,3023,False,No existing session
gabriel,True,Tuesday,03/08/2022,01:48:53,ls,Maquina Algar,gabriel,192.168.100.4,22,True,No existing session
